City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
525,Hami,CN,42.8,93.45,51.24,38,100,5.88,overcast clouds
526,Adrar,MR,20.5022,-10.0711,78.04,16,59,8.86,broken clouds
527,Madimba,TZ,-10.4,40.3333,80.04,72,41,6.33,scattered clouds
528,Aklavik,CA,68.2191,-135.0107,22.41,95,87,4.74,overcast clouds
529,Smoky Lake,CA,54.1169,-112.4686,37.56,100,100,6.91,overcast clouds
530,Fort Nelson,CA,58.8053,-122.7002,27.99,93,40,4.61,scattered clouds
531,Andra,RU,62.5147,65.8878,30.88,78,40,10.69,scattered clouds
532,Huilong,CN,31.8111,121.655,68.99,50,84,8.21,broken clouds
533,Boyolangu,ID,-8.1181,111.8935,89.82,51,73,9.33,broken clouds
534,Saqqez,IR,36.2499,46.2735,53.37,33,1,1.23,clear sky
535,Toamasina,MG,-18.1667,49.3833,78.8,89,75,4.61,broken clouds
536,Divicani,BA,44.3667,17.3261,28.24,95,7,2.64,clear sky
537,Corowa,AU,-36.0333,146.3833,68.38,46,5,17.18,clear sky
538,Ihosy,MG,-22.4,46.1167,79.12,22,0,4.56,clear sky
539,Las Palmas,ES,28.4204,-14.0131,65.19,68,0,8.05,clear sky
540,Hamilton,US,39.1834,-84.5333,55.49,94,90,0,mist
541,Mahibadhoo,MV,3.7833,72.9667,83.23,71,74,13.35,broken clouds
542,Tashtyp,RU,52.7939,89.8983,45.23,70,95,13.87,overcast clouds
543,Kedrovyy,RU,56.1667,91.8167,43.21,95,100,15.48,light rain
544,Nevel,RU,56.0209,29.9284,34.83,92,100,9.73,overcast clouds
545,Sur,OM,22.5667,59.5289,86.65,48,1,5.12,clear sky
546,Kununurra,AU,-15.7667,128.7333,100.38,37,40,9.22,scattered clouds
547,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,78,6.4,broken clouds
548,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,19,6.4,few clouds
549,Acari,PE,-15.4311,-74.6158,64.27,72,35,3.38,scattered clouds
550,Brae,GB,60.3964,-1.353,51.71,96,100,17.27,overcast clouds
551,Najran,SA,17.4924,44.1277,70.45,24,7,1.34,clear sky
552,Vavatenina,MG,-17.4667,49.2,81.36,70,87,2.8,overcast clouds
553,Nueva Concepcion,GT,14.2,-91.3,82.76,94,100,4.79,overcast clouds
554,Northam,GB,51.0333,-4.2167,56.01,83,84,21.41,light rain
555,Beckley,US,37.7782,-81.1882,53.28,83,90,0,overcast clouds
556,Kavaratti,IN,10.5669,72.642,81.3,75,83,3.91,broken clouds
557,Marawi,PH,7.9986,124.2928,75.65,64,85,4.92,overcast clouds
558,Baytown,US,29.7355,-94.9774,73.04,90,70,11.21,broken clouds
559,Mosquera,CO,4.7059,-74.2302,55.49,94,75,2.3,broken clouds
560,Jeremie,HT,18.65,-74.1167,78.96,75,58,2.28,broken clouds
561,Kushima,JP,31.4583,131.2333,68.04,59,97,10.87,overcast clouds
562,Mapimi,MX,25.8167,-103.85,69.17,40,0,3.65,clear sky
563,Ordzhonikidzevskiy,RU,43.8423,41.8964,49.46,46,98,2.62,overcast clouds
564,Les Cayes,HT,18.2,-73.75,77.07,83,78,3.24,broken clouds
565,Gravelbourg,CA,49.8834,-106.5512,39.47,52,100,15.9,overcast clouds
566,Ureki,GE,41.9956,41.7786,53.56,66,44,4.41,scattered clouds
567,Solnechnyy,RU,50.7214,136.6319,46.89,62,0,4.45,clear sky
568,Ryotsu,JP,38.0833,138.4333,64.36,51,48,6.71,scattered clouds
569,Muroto,JP,33.2833,134.15,68.04,50,94,5.82,overcast clouds
570,Kodinsk,RU,58.6881,99.1844,37.11,96,100,11.99,overcast clouds
