City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Binabalian,PH,82.99,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
340,Ko Samui,TH,83.68,overcast clouds,9.5357,99.9357,The Passage
346,Vung Tau,VN,84.92,overcast clouds,10.346,107.0843,Green hotel
350,Hambantota,LK,86.83,broken clouds,6.1241,81.1185,Bungalow 63
357,Vaitape,PF,76.68,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
358,Diamantino,BR,79.05,scattered clouds,-14.4086,-56.4461,Hotel Delta
362,Ponnani,IN,85.32,overcast clouds,10.767,75.9252,Rouba Residency
372,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
376,Inverell,AU,83.1,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
379,Guirang,PH,83.97,overcast clouds,11.35,125.1167,Wespal Sohoton Visitors Center & Eco-lodge
388,Dzemul,MX,75.27,overcast clouds,21.2,-89.3,Merceria 3 princesas
390,Sassandra,CI,75.72,light rain,4.95,-6.0833,la terrasse
391,Waddan,LY,76.89,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
400,Sorong,ID,83.23,overcast clouds,-0.8833,131.25,waigo splash hotel
402,Araceli,PH,80.64,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
403,Kalmunai,LK,85.95,broken clouds,7.4167,81.8167,VS Villa
405,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
408,Liwonde,MW,84.74,scattered clouds,-15.0506,35.2035,Sun Village Hotel
418,Harpalpur,IN,81.48,clear sky,25.2884,79.3347,Shri ram mobail gallery
424,Terra Santa,BR,76.03,overcast clouds,-2.1042,-56.4869,Hotel Sarah
427,Port Blair,IN,83.97,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
437,Ubud,ID,85.32,scattered clouds,-8.5098,115.2654,Maya Ubud Resort & Spa
440,Mitsamiouli,KM,80.22,broken clouds,-11.3847,43.2844,Foyer ADM
441,Puerto Escondido,MX,77.59,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
444,Dakar,SN,78.93,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
449,Labuan,MY,87.96,light rain,5.2767,115.2417,Tiara Labuan Hotel
451,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
452,Aquiraz,BR,84.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
454,Hirara,JP,76.71,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
458,Ongole,IN,86.63,broken clouds,15.5,80.05,Hotel Kolas
460,Bac Lieu,VN,85.62,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
462,Enid,US,77.14,overcast clouds,36.3956,-97.8784,Ramada by Wyndham Enid
465,Caraballeda,VE,78.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
467,Placido De Castro,BR,78.71,broken clouds,-10.3353,-67.1856,Hotel Carioca
468,Bani Walid,LY,75.36,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
473,Trairi,BR,79.7,scattered clouds,-3.2778,-39.2689,janelas do mar
475,Turbat,PK,81.68,clear sky,26.0023,63.044,Mubashar Quarters
480,Manadhoo,MV,82.51,overcast clouds,5.7667,73.3833,Reason Inn
